"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"157","Adult_BM","BP","GO:0045765","regulation of angiogenesis","15/517","105/8716",0.00126635774213553,0.0413232526381069,0.0362016950106335,"716937/715615/714608/613028/698954/100430739/703088/707749/716098/702103/714731/710441/715952/707540/714717",15
"158","Adult_BM","BP","GO:0034198","cellular response to amino acid starvation","5/517","15/8716",0.0013146694881409,0.0424285773916565,0.0371700270527925,"716937/710832/699329/719199/711115",5
"159","Adult_BM","BP","GO:0071559","response to transforming growth factor beta","14/517","95/8716",0.00134129051109108,0.0424285773916565,0.0371700270527925,"702077/700690/708839/716452/100430739/703088/711355/718616/702103/706198/707540/714451/715710/700692",14
"160","Adult_BM","BP","GO:1902074","response to salt","14/517","95/8716",0.00134129051109108,0.0424285773916565,0.0371700270527925,"711776/702077/574296/715896/718387/712428/716452/703669/710036/717703/710643/719350/720180/106994863",14
"161","Adult_BM","BP","GO:0034097","response to cytokine","32/517","309/8716",0.00140324139100713,0.0439398819406274,0.0384940222094461,"695172/702981/697017/718387/722000/710591/693917/701419/707539/699798/613028/698160/711879/702502/708778/707749/700732/780935/702103/700942/710441/707329/717994/696747/695567/710324/699955/693961/697986/695652/708425/707234",32
"162","Adult_BM","BP","GO:0001775","cell activation","36/517","361/8716",0.00142268044916616,0.044103093924151,0.0386370058826179,"711776/718387/712428/713737/693917/694625/716452/613028/699294/703088/695590/717204/711355/704130/716003/710036/100428720/707749/693676/714731/710441/702944/719350/708980/701278/695567/719199/100425589/710796/694416/708507/699955/712410/714728/707234/705056",36
"163","Adult_BM","BP","GO:0048514","blood vessel morphogenesis","26/517","235/8716",0.0015208504761313,0.0462958118199693,0.0405579607794637,"719320/697017/716937/715615/716452/714608/697685/709723/613028/698954/100430739/703088/721324/697755/707749/716098/702103/714731/710441/697884/702775/715952/707540/710796/694450/714717",26
"164","Adult_BM","BP","GO:0018212","peptidyl-tyrosine modification","15/517","107/8716",0.00153821568305059,0.0462958118199693,0.0405579607794637,"695091/574296/697017/704310/702396/717204/697755/702502/707749/704449/717994/695567/694915/697986/613032",15
"165","Adult_BM","BP","GO:1901342","regulation of vasculature development","15/517","107/8716",0.00153821568305059,0.0462958118199693,0.0405579607794637,"716937/715615/714608/613028/698954/100430739/703088/707749/716098/702103/714731/710441/715952/707540/714717",15
"166","Adult_BM","BP","GO:0034330","cell junction organization","28/517","261/8716",0.0016267904208816,0.0484908683147399,0.0424809644319284,"695172/695091/712299/695557/694193/704787/699798/694116/706549/710956/694022/702481/711465/711355/697755/707996/696556/703993/693425/717679/707540/693440/698576/697776/700504/702979/710796/700973",28
"167","Adult_BM","BP","GO:0044092","negative regulation of molecular function","34/517","338/8716",0.00165530509383274,0.0488709122941093,0.0428139061863504,"703475/702981/613025/712428/722000/715615/711877/694625/716452/699294/100430739/100424484/717204/613026/704130/100428720/708778/704449/700850/702103/699004/718350/705680/707540/714405/696747/719199/710324/714789/711489/693961/695652/711115/705056",34
"168","Adult_BM","CC","GO:0043235","receptor complex","23/561","153/9500",3.00244047168095e-05,0.0105085416508833,0.0102715068768033,"719320/574296/697826/712428/704787/703777/703088/717204/707247/698160/711355/711879/707749/699405/703107/574380/705252/693961/697986/715710/702731/613032/696778",23
"169","Adult_BM","MF","GO:0008047","enzyme activator activity","32/530","248/8759",3.6286677154034e-05,0.010669364244763,0.00973482139120711,"701151/574296/718387/706919/710591/716452/718464/710956/702396/705311/716580/712896/697755/697231/702502/100429627/700311/694750/716990/702103/700942/702775/705680/707876/715322/712096/719199/694915/694485/710262/698697/711115",32
"170","Adult_BM","MF","GO:0019900","kinase binding","35/530","283/8759",3.89392855648284e-05,0.010669364244763,0.00973482139120711,"722750/613025/697017/722000/715615/712799/711877/700443/715018/700197/698954/100430739/706873/698160/711355/707996/704130/703752/694750/704449/702103/706198/718350/714405/708908/695757/695170/719199/710796/694915/710262/693961/695652/711115/705056",35
"171","Adult_BM","MF","GO:0019901","protein kinase binding","32/530","255/8759",6.2892161813937e-05,0.0114883015580125,0.0104820269689895,"613025/697017/722000/715615/712799/711877/700443/715018/700197/698954/100430739/706873/698160/711355/707996/703752/704449/702103/706198/718350/714405/708908/695757/695170/719199/710796/694915/710262/693961/695652/711115/705056",32
"172","Adult_BM","MF","GO:0030695","GTPase regulator activity","27/530","211/8759",0.000168641629464229,0.0150048434503515,0.0136905505933864,"701151/718387/709675/716452/100429172/718464/100429968/702562/705818/710956/705311/712896/697755/697231/100429627/700311/100428720/705601/702775/705680/715322/712096/694485/719329/698697/698148/717165",27
"173","Adult_BM","MF","GO:0005096","GTPase activator activity","17/530","105/8759",0.000170396726992323,0.0150048434503515,0.0136905505933864,"701151/718387/716452/718464/710956/705311/712896/697755/697231/100429627/700311/702775/705680/715322/712096/694485/698697",17
"174","Adult_BM","MF","GO:0032813","tumor necrosis factor receptor superfamily binding","8/530","28/8759",0.000179947778446524,0.0150048434503515,0.0136905505933864,"693917/711879/706255/100551506/702944/696747/699955/693961",8
"175","Adult_BM","MF","GO:0060589","nucleoside-triphosphatase regulator activity","27/530","213/8759",0.000197438482668904,0.0150048434503515,0.0136905505933864,"701151/718387/709675/716452/100429172/718464/100429968/702562/705818/710956/705311/712896/697755/697231/100429627/700311/100428720/705601/702775/705680/715322/712096/694485/719329/698697/698148/717165",27
"176","Adult_BM","MF","GO:0005164","tumor necrosis factor receptor binding","7/530","22/8759",0.000219048809494183,0.0150048434503515,0.0136905505933864,"693917/711879/706255/100551506/702944/699955/693961",7
"177","Adult_BM","MF","GO:0001614","purinergic nucleotide receptor activity","5/530","12/8759",0.000441505732305932,0.0241945141303651,0.0220752866152966,"709857/710036/709960/709766/708507",5
"178","Adult_BM","MF","GO:0016502","nucleotide receptor activity","5/530","12/8759",0.000441505732305932,0.0241945141303651,0.0220752866152966,"709857/710036/709960/709766/708507",5
"179","Adult_BM","MF","GO:0046332","SMAD binding","8/530","33/8759",0.000614702646815586,0.0300402572016632,0.027408993797138,"702077/693359/716452/703088/706873/711355/699626/718616",8
"180","Adult_BM","MF","GO:0004879","nuclear receptor activity","8/530","34/8759",0.000761947924603374,0.0300402572016632,0.027408993797138,"574293/613025/697077/710591/696797/704014/706198/701624",8
"181","Adult_BM","MF","GO:0098531","ligand-activated transcription factor activity","8/530","34/8759",0.000761947924603374,0.0300402572016632,0.027408993797138,"574293/613025/697077/710591/696797/704014/706198/701624",8
"182","Adult_BM","MF","GO:0005509","calcium ion binding","36/530","342/8759",0.000767451826319863,0.0300402572016632,0.027408993797138,"702946/712365/695557/718387/694470/705964/701419/711548/715264/718476/700373/707166/702481/712805/697084/654420/696712/700892/702905/706949/714740/714731/695658/711973/697832/717963/693440/719350/710965/696747/699355/699623/694108/705901/714451/106994863",36
